B_T,Delta_inter_min_MHz
1.116,1.2708886905635302
1.117,1.2660912481383315
1.118,1.261293805713132
1.119,1.2564963632879325
1.12,1.251698920862733
1.121,1.2469014784375334
1.122,1.2421040360123339
1.123,1.2373065935871352
1.124,1.2325091511619348
1.125,1.2277117087367362
1.1260000000000001,1.2229142663115358
1.127,1.2181168238863371
1.1280000000000001,1.2133193814611376
1.129,1.208521939035938
1.1300000000000001,1.2037244966107385
1.131,1.19892705418554
1.1320000000000001,1.1941296117603395
1.133,1.1893321693351409
1.1340000000000001,1.1845347269099404
1.135,1.1797372844847418
1.1360000000000001,1.1749398420595414
1.137,1.1701423996343427
1.1380000000000001,1.1653449572091432
1.139,1.1605475147839437
1.1400000000000001,1.1557500723587442
1.141,1.1509526299335455
1.1420000000000001,1.146155187508345
1.143,1.1413577450831465
1.1440000000000001,1.136560302657946
1.145,1.1317628602327474
1.1460000000000001,1.1269654178075479
1.147,1.1221679753823484
1.1480000000000001,1.1173705329571488
1.149,1.1125730905319493
1.1500000000000001,1.1077756481067498
1.151,1.1029782056815511
1.1520000000000001,1.0981807632563507
1.153,1.093383320831152
1.1540000000000001,1.0885858784059517
1.155,1.083788435980753
1.1560000000000001,1.0789909935555535
1.157,1.074193551130354
1.1580000000000001,1.0693961087051544
1.159,1.064598666279955
1.16,1.0598012238547563
1.161,1.0550037814295568
1.162,1.0502063390043572
1.163,1.0454088965791577
1.164,1.040611454153959
1.165,1.0358140117287586
1.166,1.03101656930356
1.167,1.0262191268783596
1.168,1.021421684453161
1.169,1.0166242420279614
1.17,1.011826799602762
1.171,1.0070293571775624
1.172,1.0022319147523628
1.173,0.9974344723271633
1.174,0.9926370299019647
1.175,0.9878395874767643
1.176,0.9830421450515656
1.177,0.9782447026263652
1.178,0.9734472602011666
1.179,0.968649817775967
1.18,0.9638523753507675
1.181,0.959054932925568
1.182,0.9542574905003693
1.183,0.9494600480751689
1.184,0.9446626056499703
1.185,0.9398651632247699
1.186,0.9350677207995712
1.187,0.9302702783743708
1.188,0.9254728359491722
1.189,0.9206753935239727
1.19,0.9158779510987731
1.191,0.9110805086735736
1.192,0.906283066248375
1.193,0.9014856238231745
1.194,0.8966881813979759
1.195,0.8918907389727755
1.196,0.8870932965475768
1.197,0.8822958541223773
1.198,0.8774984116971778
1.199,0.8727009692719783
1.2,0.8679035268467787
1.201,0.8631060844215792
1.202,0.8583086419963806
1.203,0.8535111995711802
1.204,0.8487137571459815
1.205,0.8439163147207811
1.206,0.8391188722955825
1.207,0.8343214298703829
1.208,0.8295239874451834
1.209,0.8247265450199839
1.21,0.8199291025947852
1.211,0.8151316601695848
1.212,0.8103342177443862
1.213,0.8055367753191858
1.214,0.8007393328939871
1.215,0.7959418904687867
1.216,0.7911444480435881
1.217,0.7863470056183886
1.218,0.781549563193189
1.219,0.7767521207679895
1.22,0.7719546783427909
1.221,0.7671572359175904
1.222,0.7623597934923918
1.223,0.7575623510671914
1.224,0.7527649086419927
1.2249999999999999,0.7479674662167941
1.226,0.7431700237915937
1.2269999999999999,0.738372581366395
1.228,0.7335751389411946
1.2289999999999999,0.728777696515996
1.23,0.7239802540907965
1.2309999999999999,0.7191828116655969
1.232,0.7143853692403974
1.2329999999999999,0.7095879268151988
1.234,0.7047904843899984
1.2349999999999999,0.6999930419647997
1.236,0.6951955995395993
1.2369999999999999,0.6903981571144007
1.238,0.6856007146892003
1.2389999999999999,0.6808032722640016
1.24,0.6760058298388021
1.2409999999999999,0.6712083874136026
1.242,0.666410944988403
1.2429999999999999,0.6616135025632044
1.244,0.656816060138004
1.2449999999999999,0.6520186177128053
1.246,0.6472211752876049
1.2469999999999999,0.6424237328624063
1.248,0.6376262904372068
1.2489999999999999,0.6328288480120072
1.25,0.6280314055868077
1.251,0.6232339631616082
1.252,0.6184365207364086
1.253,0.61363907831121
1.254,0.6088416358860096
1.255,0.604044193460811
1.256,0.5992467510356105
1.257,0.5944493086104119
1.258,0.5896518661852124
1.259,0.5848544237600128
1.26,0.5800569813348133
1.261,0.5752595389096147
1.262,0.5704620964844143
1.263,0.5656646540592156
1.264,0.5608672116340152
1.265,0.5560697692088166
1.266,0.5512723267836162
1.267,0.5464748843584175
1.268,0.541677441933218
1.269,0.5368799995080185
1.27,0.5320825570828189
1.271,0.5272851146576203
1.272,0.5224876722324199
1.273,0.5176902298072212
1.274,0.5128927873820208
1.275,0.5080953449568222
1.276,0.5032979025316227
1.277,0.4985004601064231
1.278,0.4937030176812236
1.279,0.48890557525602407
1.28,0.48410813283082454
1.281,0.4793106904056259
1.282,0.4745132479804255
1.283,0.46971580555522685
1.284,0.46491836313002644
1.285,0.4601209207048278
1.286,0.45532347827962827
1.287,0.45052603585442874
1.288,0.4457285934292292
1.289,0.4409311510040297
1.29,0.43613370857883016
1.291,0.4313362661536315
1.292,0.4265388237284311
1.293,0.42174138130323247
1.294,0.41694393887803205
1.295,0.4121464964528334
1.296,0.4073490540276339
1.297,0.40255161160243436
1.298,0.39775416917723483
1.299,0.3929567267520362
1.3,0.3881592843268358
1.301,0.38336184190163713
1.302,0.3785643994764367
1.303,0.3737669570512381
1.304,0.36896951462603766
1.305,0.364172072200839
1.306,0.3593746297756395
1.307,0.35457718735043997
1.308,0.34977974492524044
1.309,0.3449823025000418
1.31,0.3401848600748414
1.311,0.33538741764964275
1.312,0.33058997522444233
1.313,0.3257925327992437
1.314,0.32099509037404417
1.315,0.31619764794884464
1.316,0.3114002055236451
1.317,0.3066027630984456
1.318,0.30180532067324606
1.319,0.2970078782480474
1.32,0.292210435822847
1.321,0.28741299339764836
1.322,0.28261555097244795
1.323,0.2778181085472493
1.324,0.2730206661220498
1.325,0.26822322369685025
1.326,0.2634257812716507
1.327,0.2586283388464521
1.328,0.2538308964212517
1.329,0.24903345399605303
1.33,0.24423601157085262
1.331,0.23943856914565398
1.332,0.23464112672045356
1.333,0.22984368429525492
1.334,0.2250462418700554
1.335,0.22024879944485587
1.336,0.21545135701965634
1.337,0.2106539145944577
1.338,0.2058564721692573
1.339,0.20105902974405865
1.34,0.19626158731885823
1.341,0.1914641448936596
1.342,0.18666670246846007
1.343,0.18186926004326054
1.344,0.177071817618061
1.345,0.17227437519286148
1.346,0.16747693276766196
1.347,0.16267949034246332
1.348,0.1578820479172629
1.349,0.15308460549206426
1.35,0.14828716306686385
1.351,0.1434897206416652
1.352,0.13869227821646568
1.353,0.13389483579126615
1.3539999999999999,0.12909739336606751
1.355,0.12429995094086799
1.3559999999999999,0.11950250851566846
1.357,0.11470506609046893
1.3579999999999999,0.1099076236652694
1.359,0.10511018124006988
1.3599999999999999,0.10031273881487124
1.361,0.09551529638967082
1.3619999999999999,0.09071785396447218
1.363,0.08592041153927177
1.3639999999999999,0.08112296911407313
1.365,0.0763255266888736
1.3659999999999999,0.07152808426367407
1.367,0.06673064183847455
1.3679999999999999,0.06193319941327502
1.369,0.05713575698807549
1.3699999999999999,0.05233831456287685
1.371,0.04754087213767644
1.3719999999999999,0.0427434297124778
1.373,0.03794598728727738
1.3739999999999999,0.033148544862078744
1.375,0.028351102436879216
1.376,0.02355366001167969
1.377,0.01875621758648016
1.378,0.013958775161281523
1.379,0.009161332736081107
1.38,0.004363890310882468
1.381,0.0004335521143179477
1.382,0.005230994539516587
1.383,0.010028436964717002
1.384,0.014825879389915642
1.385,0.01962332181511517
1.386,0.024420764240314696
1.387,0.029218206665514224
1.388,0.03401564909071286
1.389,0.03881309151591328
1.39,0.04361053394111192
1.391,0.04840797636631233
1.392,0.05320541879151097
1.393,0.0580028612167105
1.394,0.06280030364191003
1.395,0.06759774606710955
1.396,0.07239518849230908
1.397,0.07719263091750861
1.398,0.08199007334270725
1.399,0.08678751576790766
1.4,0.0915849581931063
1.401,0.09638240061830672
1.402,0.10117984304350536
1.403,0.10597728546870488
1.404,0.11077472789390441
1.405,0.11557217031910394
1.406,0.12036961274430258
1.407,0.125167055169503
1.408,0.12996449759470163
1.409,0.13476194001990205
1.41,0.1395593824451007
1.411,0.1443568248703011
1.412,0.14915426729549974
1.413,0.15395170972069927
1.414,0.1587491521458988
1.415,0.16354659457109832
1.416,0.16834403699629696
1.417,0.17314147942149738
1.418,0.17793892184669602
1.419,0.18273636427189643
1.42,0.18753380669709507
1.421,0.1923312491222946
1.422,0.19712869154749413
1.423,0.20192613397269366
1.424,0.20672357639789318
1.425,0.2115210188230927
1.426,0.21631846124829135
1.427,0.22111590367349176
1.428,0.2259133460986904
1.429,0.23071078852389082
1.43,0.23550823094908946
1.431,0.24030567337428899
1.432,0.2451031157994885
1.433,0.24990055822468804
1.434,0.25469800064988757
1.435,0.2594954430750871
1.436,0.26429288550028573
1.437,0.26909032792548615
1.438,0.2738877703506848
1.439,0.2786852127758852
1.44,0.28348265520108384
1.441,0.28828009762628337
1.442,0.2930775400514829
1.443,0.2978749824766824
1.444,0.30267242490188107
1.445,0.3074698673270815
1.446,0.3122673097522801
1.447,0.31706475217748054
1.448,0.3218621946026792
