label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
3MHz_ceiling_target,84.0,0.8860000000000002,1.7494621520632192
3MHz_ceiling_target,84.0,0.8880000000000002,1.7398672585012855
3MHz_ceiling_target,84.0,0.8900000000000002,1.730272364939351
3MHz_ceiling_target,84.0,0.8920000000000002,1.7206774713774173
3MHz_ceiling_target,84.0,0.8940000000000002,1.7110825778154828
3MHz_ceiling_target,84.0,0.8960000000000002,1.7014876842535491
3MHz_ceiling_target,84.0,0.8980000000000002,1.6918927906916155
3MHz_ceiling_target,84.0,0.9000000000000002,1.682297897129681
3MHz_ceiling_target,84.0,0.9020000000000002,1.6727030035677473
3MHz_ceiling_target,84.0,0.9040000000000002,1.6631081100058127
3MHz_ceiling_target,84.0,0.9060000000000002,1.653513216443879
3MHz_ceiling_target,84.0,0.9080000000000003,1.6439183228819445
3MHz_ceiling_target,84.0,0.9100000000000003,1.6343234293200108
3MHz_ceiling_target,84.0,0.9120000000000003,1.6247285357580763
3MHz_ceiling_target,84.0,0.9140000000000003,1.6151336421961426
3MHz_ceiling_target,84.0,0.9160000000000003,1.605538748634209
3MHz_ceiling_target,84.0,0.9180000000000003,1.5959438550722744
3MHz_ceiling_target,84.0,0.9200000000000003,1.5863489615103408
3MHz_ceiling_target,84.0,0.9220000000000003,1.5767540679484062
3MHz_ceiling_target,84.0,0.9240000000000003,1.5671591743864726
3MHz_ceiling_target,84.0,0.9260000000000003,1.557564280824538
3MHz_ceiling_target,84.0,0.9280000000000003,1.5479693872626044
3MHz_ceiling_target,84.0,0.9300000000000003,1.5383744937006707
3MHz_ceiling_target,84.0,0.9320000000000003,1.5287796001387361
3MHz_ceiling_target,84.0,0.9340000000000003,1.5191847065768025
3MHz_ceiling_target,84.0,0.9360000000000003,1.509589813014868
3MHz_ceiling_target,84.0,0.9380000000000003,1.4999949194529343
3MHz_ceiling_target,84.0,0.9400000000000003,1.4904000258909997
3MHz_ceiling_target,84.0,0.9420000000000003,1.480805132329066
3MHz_ceiling_target,84.0,0.9440000000000003,1.4712102387671315
3MHz_ceiling_target,84.0,0.9460000000000003,1.4616153452051979
3MHz_ceiling_target,84.0,0.9480000000000003,1.4520204516432642
3MHz_ceiling_target,84.0,0.9500000000000003,1.4424255580813297
3MHz_ceiling_target,84.0,0.9520000000000003,1.432830664519396
3MHz_ceiling_target,84.0,0.9540000000000003,1.4232357709574615
3MHz_ceiling_target,84.0,0.9560000000000003,1.4136408773955278
3MHz_ceiling_target,84.0,0.9580000000000003,1.4040459838335932
3MHz_ceiling_target,84.0,0.9600000000000003,1.3944510902716596
3MHz_ceiling_target,84.0,0.9620000000000003,1.384856196709726
3MHz_ceiling_target,84.0,0.9640000000000003,1.3752613031477914
3MHz_ceiling_target,84.0,0.9660000000000003,1.3656664095858577
3MHz_ceiling_target,84.0,0.9680000000000003,1.3560715160239232
3MHz_ceiling_target,84.0,0.9700000000000003,1.3464766224619895
3MHz_ceiling_target,84.0,0.9720000000000003,1.336881728900055
3MHz_ceiling_target,84.0,0.9740000000000003,1.3272868353381213
3MHz_ceiling_target,84.0,0.9760000000000003,1.3176919417761868
3MHz_ceiling_target,84.0,0.9780000000000003,1.308097048214253
3MHz_ceiling_target,84.0,0.9800000000000003,1.2985021546523194
3MHz_ceiling_target,84.0,0.9820000000000003,1.288907261090385
3MHz_ceiling_target,84.0,0.9840000000000003,1.2793123675284512
3MHz_ceiling_target,84.0,0.9860000000000003,1.2697174739665167
3MHz_ceiling_target,84.0,0.9880000000000003,1.260122580404583
3MHz_ceiling_target,84.0,0.9900000000000003,1.2505276868426485
3MHz_ceiling_target,84.0,0.9920000000000003,1.2409327932807148
3MHz_ceiling_target,84.0,0.9940000000000003,1.2313378997187812
3MHz_ceiling_target,84.0,0.9960000000000003,1.2217430061568466
3MHz_ceiling_target,84.0,0.9980000000000003,1.212148112594913
3MHz_ceiling_target,84.0,1.0000000000000004,1.2025532190329784
3MHz_ceiling_target,84.0,1.0020000000000002,1.1929583254710447
3MHz_ceiling_target,84.0,1.0040000000000004,1.1833634319091102
3MHz_ceiling_target,84.0,1.0060000000000002,1.1737685383471765
3MHz_ceiling_target,84.0,1.0080000000000005,1.164173644785242
3MHz_ceiling_target,84.0,1.0100000000000002,1.1545787512233092
3MHz_ceiling_target,84.0,1.0120000000000005,1.1449838576613738
3MHz_ceiling_target,84.0,1.0140000000000002,1.135388964099441
3MHz_ceiling_target,84.0,1.0160000000000005,1.1257940705375056
3MHz_ceiling_target,84.0,1.0180000000000002,1.1161991769755728
